rank,blog_code,segment,impressions,clicks,ctr
586,5761,passing,117,0,0.000000
587,5762,low,107,0,0.000000
588,5765,passing,422,0,0.000000
589,5784,passing,249,0,0.000000
590,5799,passing,99,0,0.000000
591,5824,low,97,0,0.000000
592,5829,passing,206,0,0.000000
593,5839,low,195,0,0.000000
594,5846,passing,194,0,0.000000
595,5852,low,72,0,0.000000
596,5853,low,64,0,0.000000
597,5857,passing,89,0,0.000000
598,5873,passing,727,0,0.000000
599,5891,low,57,0,0.000000
600,5908,low,142,0,0.000000
601,5909,low,216,0,0.000000
602,5913,low,60,0,0.000000
603,5962,low,147,0,0.000000
604,5986,passing,809,0,0.000000
605,5989,passing,203,0,0.000000
606,6044,killer,146,0,0.000000
607,6048,low,124,0,0.000000
608,6105,low,362,0,0.000000
609,6115,passing,404,0,0.000000
610,6116,low,216,0,0.000000
611,6118,passing,252,0,0.000000
612,6130,low,54,0,0.000000
613,6167,low,74,0,0.000000
614,6204,passing,1380,0,0.000000
615,6277,low,60,0,0.000000
616,6308,low,80,0,0.000000
617,6338,비여행,769,0,0.000000
618,6345,low,89,0,0.000000
619,6365,low,90,0,0.000000
620,6388,low,53,0,0.000000
621,6407,passing,213,0,0.000000
622,6415,low,77,0,0.000000
623,6456,low,516,0,0.000000
624,6484,low,61,0,0.000000
625,6492,passing,636,0,0.000000
626,6497,passing,117,0,0.000000
627,6501,passing,184,0,0.000000
628,6502,passing,120,0,0.000000
629,6525,비여행,906,0,0.000000
630,6546,비여행,117,0,0.000000
631,6560,비여행,139,0,0.000000
632,6590,passing,139,0,0.000000
633,6626,low,54,0,0.000000
634,6629,비여행,64,0,0.000000
635,6632,비여행,77,0,0.000000
636,6637,low,89,0,0.000000
637,6638,비여행,92,0,0.000000
638,6655,passing,527,0,0.000000
639,6690,passing,260,0,0.000000
640,6702,passing,129,0,0.000000
641,6721,passing,862,0,0.000000
642,6752,passing,79,0,0.000000
643,6755,passing,62,0,0.000000
644,6760,low,278,0,0.000000
645,6762,passing,104,0,0.000000
